Electrode,Mean_V,Std_V,SNR_dB,CV_pct
1,1.298125,0.0844763280451985,23.7316297174361,6.50756499144524
2,1.343125,0.096796608067294,22.8451258748952,7.20682051687624
3,1.274375,0.103921043746362,21.7718748626904,8.15466748377536
4,1.289375,0.0925540382695428,22.87967745809,7.1782094634643
5,1.260625,0.0902196393992646,22.9056965726448,7.15673887153314
6,1.340625,0.08274206910635,24.1916187379279,6.17190259068345
7,1.320625,0.0861370032757893,23.7117951180419,6.52244227360449
8,1.3475,0.101291658096805,22.4791018694176,7.51700616673876
9,1.253125,0.0999812482418579,21.9615167957523,7.97855347565948
10,1.281875,0.0949539362006652,22.6066541022676,7.40742554466428
11,1.270625,0.0908088652059919,22.9177829487572,7.14678722723005
12,1.353125,0.0896451337218033,23.5762239729737,6.62504452447507
13,1.309375,0.0923376954444933,23.0337002675357,7.05204356616655
14,1.32875,0.102102889283311,22.2881049141691,7.684130896204
15,1.251875,0.0916674242392938,22.7069187669224,7.32241032365802
16,1.310625,0.0859820717746826,23.6614108478326,6.56038697374784
